goos: linux
goarch: amd64
pkg: escapebench.local/matrix/M-b44a93baae51/subjects/Size0008FieldsPlain_CAPTURED_BY_CLOSURE_POINTER
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkSubject 	14858576	        19.33 ns/op	      24 B/op	       2 allocs/op
BenchmarkSubject 	15630993	        19.24 ns/op	      24 B/op	       2 allocs/op
BenchmarkSubject 	15136269	        19.30 ns/op	      24 B/op	       2 allocs/op
BenchmarkSubject 	14873444	        19.38 ns/op	      24 B/op	       2 allocs/op
BenchmarkSubject 	15711601	        19.68 ns/op	      24 B/op	       2 allocs/op
BenchmarkSubject 	15414608	        19.39 ns/op	      24 B/op	       2 allocs/op
BenchmarkSubject 	15583868	        19.36 ns/op	      24 B/op	       2 allocs/op
BenchmarkSubject 	15345409	        19.25 ns/op	      24 B/op	       2 allocs/op
BenchmarkSubject 	15560767	        19.34 ns/op	      24 B/op	       2 allocs/op
BenchmarkSubject 	15772378	        20.09 ns/op	      24 B/op	       2 allocs/op
BenchmarkSubject 	15092330	        19.82 ns/op	      24 B/op	       2 allocs/op
BenchmarkSubject 	14974963	        19.98 ns/op	      24 B/op	       2 allocs/op
BenchmarkSubject 	14928630	        19.39 ns/op	      24 B/op	       2 allocs/op
BenchmarkSubject 	15532906	        19.31 ns/op	      24 B/op	       2 allocs/op
BenchmarkSubject 	15333793	        19.28 ns/op	      24 B/op	       2 allocs/op
BenchmarkSubject 	15953324	        19.74 ns/op	      24 B/op	       2 allocs/op
BenchmarkSubject 	14557850	        19.84 ns/op	      24 B/op	       2 allocs/op
BenchmarkSubject 	15456688	        19.55 ns/op	      24 B/op	       2 allocs/op
BenchmarkSubject 	15566030	        20.05 ns/op	      24 B/op	       2 allocs/op
BenchmarkSubject 	14695827	        22.32 ns/op	      24 B/op	       2 allocs/op
PASS
ok  	escapebench.local/matrix/M-b44a93baae51/subjects/Size0008FieldsPlain_CAPTURED_BY_CLOSURE_POINTER	6.442s
