goos: linux
goarch: amd64
pkg: escapebench.local/matrix/M-b44a93baae51/subjects/Size0008FieldsPlain_RETURNED_ALLOCATING_K2_VALUE
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkSubject 	13826715	        21.31 ns/op	      48 B/op	       2 allocs/op
BenchmarkSubject 	14060419	        22.15 ns/op	      48 B/op	       2 allocs/op
BenchmarkSubject 	13196492	        21.53 ns/op	      48 B/op	       2 allocs/op
BenchmarkSubject 	13324159	        21.67 ns/op	      48 B/op	       2 allocs/op
BenchmarkSubject 	13619534	        21.22 ns/op	      48 B/op	       2 allocs/op
BenchmarkSubject 	14301831	        21.37 ns/op	      48 B/op	       2 allocs/op
BenchmarkSubject 	13911760	        21.28 ns/op	      48 B/op	       2 allocs/op
BenchmarkSubject 	13636563	        21.20 ns/op	      48 B/op	       2 allocs/op
BenchmarkSubject 	14309808	        21.25 ns/op	      48 B/op	       2 allocs/op
BenchmarkSubject 	13627497	        21.10 ns/op	      48 B/op	       2 allocs/op
BenchmarkSubject 	13694286	        21.23 ns/op	      48 B/op	       2 allocs/op
BenchmarkSubject 	14007318	        21.84 ns/op	      48 B/op	       2 allocs/op
BenchmarkSubject 	12843555	        22.23 ns/op	      48 B/op	       2 allocs/op
BenchmarkSubject 	12249903	        23.32 ns/op	      48 B/op	       2 allocs/op
BenchmarkSubject 	13075873	        22.67 ns/op	      48 B/op	       2 allocs/op
BenchmarkSubject 	12393706	        22.56 ns/op	      48 B/op	       2 allocs/op
BenchmarkSubject 	12141435	        22.36 ns/op	      48 B/op	       2 allocs/op
BenchmarkSubject 	12162132	        23.12 ns/op	      48 B/op	       2 allocs/op
BenchmarkSubject 	11387863	        23.65 ns/op	      48 B/op	       2 allocs/op
BenchmarkSubject 	12394773	        22.87 ns/op	      48 B/op	       2 allocs/op
PASS
ok  	escapebench.local/matrix/M-b44a93baae51/subjects/Size0008FieldsPlain_RETURNED_ALLOCATING_K2_VALUE	6.293s
