goos: linux
goarch: amd64
pkg: escapebench.local/matrix/M-b44a93baae51/subjects/Size0008FieldsPlain_SENT_ON_CHANNEL_POINTER
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkSubject 	 8647371	        33.93 ns/op	       8 B/op	       1 allocs/op
BenchmarkSubject 	 9073810	        33.73 ns/op	       8 B/op	       1 allocs/op
BenchmarkSubject 	 8895910	        34.09 ns/op	       8 B/op	       1 allocs/op
BenchmarkSubject 	 8750096	        33.80 ns/op	       8 B/op	       1 allocs/op
BenchmarkSubject 	 8866612	        33.48 ns/op	       8 B/op	       1 allocs/op
BenchmarkSubject 	 8911227	        34.07 ns/op	       8 B/op	       1 allocs/op
BenchmarkSubject 	 8539808	        34.45 ns/op	       8 B/op	       1 allocs/op
BenchmarkSubject 	 8618100	        34.25 ns/op	       8 B/op	       1 allocs/op
BenchmarkSubject 	 8975359	        33.59 ns/op	       8 B/op	       1 allocs/op
BenchmarkSubject 	 8904862	        34.00 ns/op	       8 B/op	       1 allocs/op
BenchmarkSubject 	 8660335	        35.02 ns/op	       8 B/op	       1 allocs/op
BenchmarkSubject 	 8762943	        34.25 ns/op	       8 B/op	       1 allocs/op
BenchmarkSubject 	 8979794	        36.57 ns/op	       8 B/op	       1 allocs/op
BenchmarkSubject 	 8369937	        36.18 ns/op	       8 B/op	       1 allocs/op
BenchmarkSubject 	 8812591	        35.42 ns/op	       8 B/op	       1 allocs/op
BenchmarkSubject 	 8481609	        35.08 ns/op	       8 B/op	       1 allocs/op
BenchmarkSubject 	 8236382	        35.77 ns/op	       8 B/op	       1 allocs/op
BenchmarkSubject 	 8748817	        35.06 ns/op	       8 B/op	       1 allocs/op
BenchmarkSubject 	 8406337	        35.06 ns/op	       8 B/op	       1 allocs/op
BenchmarkSubject 	 8535394	        34.91 ns/op	       8 B/op	       1 allocs/op
PASS
ok  	escapebench.local/matrix/M-b44a93baae51/subjects/Size0008FieldsPlain_SENT_ON_CHANNEL_POINTER	6.754s
