goos: linux
goarch: amd64
pkg: escapebench.local/matrix/M-b44a93baae51/subjects/Size0008FieldsPlain_STORED_IN_MAP_POINTER
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkSubject 	26981035	        13.07 ns/op	       8 B/op	       1 allocs/op
BenchmarkSubject 	18981031	        13.65 ns/op	       8 B/op	       1 allocs/op
BenchmarkSubject 	23741480	        13.25 ns/op	       8 B/op	       1 allocs/op
BenchmarkSubject 	25082149	        12.87 ns/op	       8 B/op	       1 allocs/op
BenchmarkSubject 	21852759	        12.46 ns/op	       8 B/op	       1 allocs/op
BenchmarkSubject 	23901262	        12.58 ns/op	       8 B/op	       1 allocs/op
BenchmarkSubject 	23471797	        12.64 ns/op	       8 B/op	       1 allocs/op
BenchmarkSubject 	22792555	        12.38 ns/op	       8 B/op	       1 allocs/op
BenchmarkSubject 	23760502	        12.36 ns/op	       8 B/op	       1 allocs/op
BenchmarkSubject 	24224494	        12.60 ns/op	       8 B/op	       1 allocs/op
BenchmarkSubject 	24667372	        13.65 ns/op	       8 B/op	       1 allocs/op
BenchmarkSubject 	23365522	        13.55 ns/op	       8 B/op	       1 allocs/op
BenchmarkSubject 	22895748	        12.76 ns/op	       8 B/op	       1 allocs/op
BenchmarkSubject 	25688960	        13.31 ns/op	       8 B/op	       1 allocs/op
BenchmarkSubject 	23159157	        13.13 ns/op	       8 B/op	       1 allocs/op
BenchmarkSubject 	21177382	        13.32 ns/op	       8 B/op	       1 allocs/op
BenchmarkSubject 	23639325	        12.64 ns/op	       8 B/op	       1 allocs/op
BenchmarkSubject 	23418290	        13.11 ns/op	       8 B/op	       1 allocs/op
BenchmarkSubject 	24905406	        12.91 ns/op	       8 B/op	       1 allocs/op
BenchmarkSubject 	25517222	        13.46 ns/op	       8 B/op	       1 allocs/op
PASS
ok  	escapebench.local/matrix/M-b44a93baae51/subjects/Size0008FieldsPlain_STORED_IN_MAP_POINTER	6.630s
