goos: linux
goarch: amd64
pkg: escapebench.local/matrix/M-b44a93baae51/subjects/Size0008FieldsPtr_CAPTURED_BY_CLOSURE_VALUE
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkSubject 	25232385	        12.76 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	23259583	        12.81 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	23559807	        12.55 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	23165538	        12.50 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	23622310	        12.44 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	23535205	        12.67 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	23995424	        12.54 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	23391928	        12.68 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	23659940	        12.54 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	22914646	        12.63 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	24146168	        12.61 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	23471896	        12.61 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	22739300	        12.50 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	23693929	        12.42 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	22920337	        12.50 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	23893609	        12.90 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	23761429	        12.66 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	22393418	        12.66 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	22979943	        12.60 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	24071709	        12.45 ns/op	      16 B/op	       1 allocs/op
PASS
ok  	escapebench.local/matrix/M-b44a93baae51/subjects/Size0008FieldsPtr_CAPTURED_BY_CLOSURE_VALUE	6.211s
