goos: linux
goarch: amd64
pkg: escapebench.local/matrix/M-b44a93baae51/subjects/Size0008FieldsPtr_RETURNED_ALLOCATING_K2_POINTER
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkSubject 	 9927709	        29.99 ns/op	      56 B/op	       3 allocs/op
BenchmarkSubject 	10253521	        29.42 ns/op	      56 B/op	       3 allocs/op
BenchmarkSubject 	 9747806	        30.76 ns/op	      56 B/op	       3 allocs/op
BenchmarkSubject 	 9248302	        31.32 ns/op	      56 B/op	       3 allocs/op
BenchmarkSubject 	 9557209	        30.28 ns/op	      56 B/op	       3 allocs/op
BenchmarkSubject 	 9937741	        30.00 ns/op	      56 B/op	       3 allocs/op
BenchmarkSubject 	 9905895	        29.65 ns/op	      56 B/op	       3 allocs/op
BenchmarkSubject 	10433101	        29.89 ns/op	      56 B/op	       3 allocs/op
BenchmarkSubject 	 9636476	        29.60 ns/op	      56 B/op	       3 allocs/op
BenchmarkSubject 	10276419	        29.90 ns/op	      56 B/op	       3 allocs/op
BenchmarkSubject 	 9874282	        29.82 ns/op	      56 B/op	       3 allocs/op
BenchmarkSubject 	10000856	        29.79 ns/op	      56 B/op	       3 allocs/op
BenchmarkSubject 	 9820155	        30.11 ns/op	      56 B/op	       3 allocs/op
BenchmarkSubject 	 9935264	        29.86 ns/op	      56 B/op	       3 allocs/op
BenchmarkSubject 	 9743082	        29.94 ns/op	      56 B/op	       3 allocs/op
BenchmarkSubject 	 9973242	        29.69 ns/op	      56 B/op	       3 allocs/op
BenchmarkSubject 	 9996520	        29.58 ns/op	      56 B/op	       3 allocs/op
BenchmarkSubject 	 9964500	        29.61 ns/op	      56 B/op	       3 allocs/op
BenchmarkSubject 	10283595	        29.66 ns/op	      56 B/op	       3 allocs/op
BenchmarkSubject 	 9945404	        29.75 ns/op	      56 B/op	       3 allocs/op
PASS
ok  	escapebench.local/matrix/M-b44a93baae51/subjects/Size0008FieldsPtr_RETURNED_ALLOCATING_K2_POINTER	6.577s
