goos: linux
goarch: amd64
pkg: escapebench.local/matrix/M-b44a93baae51/subjects/Size0008FieldsPtr_RETURNED_ALLOCATING_K2_VALUE
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkSubject 	12865948	        23.95 ns/op	      48 B/op	       2 allocs/op
BenchmarkSubject 	11430006	        24.19 ns/op	      48 B/op	       2 allocs/op
BenchmarkSubject 	11890662	        22.83 ns/op	      48 B/op	       2 allocs/op
BenchmarkSubject 	13422010	        23.78 ns/op	      48 B/op	       2 allocs/op
BenchmarkSubject 	12222789	        22.06 ns/op	      48 B/op	       2 allocs/op
BenchmarkSubject 	13618362	        21.51 ns/op	      48 B/op	       2 allocs/op
BenchmarkSubject 	13770220	        21.69 ns/op	      48 B/op	       2 allocs/op
BenchmarkSubject 	14086803	        21.56 ns/op	      48 B/op	       2 allocs/op
BenchmarkSubject 	13863884	        21.78 ns/op	      48 B/op	       2 allocs/op
BenchmarkSubject 	13338386	        21.87 ns/op	      48 B/op	       2 allocs/op
BenchmarkSubject 	13697865	        21.74 ns/op	      48 B/op	       2 allocs/op
BenchmarkSubject 	13202920	        21.49 ns/op	      48 B/op	       2 allocs/op
BenchmarkSubject 	13839982	        21.56 ns/op	      48 B/op	       2 allocs/op
BenchmarkSubject 	13874404	        21.39 ns/op	      48 B/op	       2 allocs/op
BenchmarkSubject 	13479792	        21.34 ns/op	      48 B/op	       2 allocs/op
BenchmarkSubject 	13328360	        21.51 ns/op	      48 B/op	       2 allocs/op
BenchmarkSubject 	12810404	        21.82 ns/op	      48 B/op	       2 allocs/op
BenchmarkSubject 	13028857	        21.55 ns/op	      48 B/op	       2 allocs/op
BenchmarkSubject 	13690150	        21.94 ns/op	      48 B/op	       2 allocs/op
BenchmarkSubject 	14013094	        21.65 ns/op	      48 B/op	       2 allocs/op
PASS
ok  	escapebench.local/matrix/M-b44a93baae51/subjects/Size0008FieldsPtr_RETURNED_ALLOCATING_K2_VALUE	6.338s
