goos: linux
goarch: amd64
pkg: escapebench.local/matrix/M-b44a93baae51/subjects/Size0008FieldsPtr_RETURNED_ALLOCATING_R4_K2_VALUE
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkSubject 	 3468189	        85.46 ns/op	     192 B/op	       8 allocs/op
BenchmarkSubject 	 3555153	        86.21 ns/op	     192 B/op	       8 allocs/op
BenchmarkSubject 	 3540260	        85.11 ns/op	     192 B/op	       8 allocs/op
BenchmarkSubject 	 3525980	        84.77 ns/op	     192 B/op	       8 allocs/op
BenchmarkSubject 	 3503938	        85.02 ns/op	     192 B/op	       8 allocs/op
BenchmarkSubject 	 3542461	        85.22 ns/op	     192 B/op	       8 allocs/op
BenchmarkSubject 	 3559480	        85.07 ns/op	     192 B/op	       8 allocs/op
BenchmarkSubject 	 3505610	        86.01 ns/op	     192 B/op	       8 allocs/op
BenchmarkSubject 	 3468400	        86.94 ns/op	     192 B/op	       8 allocs/op
BenchmarkSubject 	 3498459	        87.50 ns/op	     192 B/op	       8 allocs/op
BenchmarkSubject 	 3418816	        86.51 ns/op	     192 B/op	       8 allocs/op
BenchmarkSubject 	 3481131	        85.18 ns/op	     192 B/op	       8 allocs/op
BenchmarkSubject 	 3512695	        87.86 ns/op	     192 B/op	       8 allocs/op
BenchmarkSubject 	 3446630	        86.64 ns/op	     192 B/op	       8 allocs/op
BenchmarkSubject 	 3459891	        85.30 ns/op	     192 B/op	       8 allocs/op
BenchmarkSubject 	 3494206	        85.25 ns/op	     192 B/op	       8 allocs/op
BenchmarkSubject 	 3557461	        85.72 ns/op	     192 B/op	       8 allocs/op
BenchmarkSubject 	 3531709	        85.72 ns/op	     192 B/op	       8 allocs/op
BenchmarkSubject 	 3388318	        84.84 ns/op	     192 B/op	       8 allocs/op
BenchmarkSubject 	 3493280	        84.45 ns/op	     192 B/op	       8 allocs/op
PASS
ok  	escapebench.local/matrix/M-b44a93baae51/subjects/Size0008FieldsPtr_RETURNED_ALLOCATING_R4_K2_VALUE	7.761s
