goos: linux
goarch: amd64
pkg: escapebench.local/matrix/M-b44a93baae51/subjects/Size0008Plain_RETURNED_ALLOCATING_R16_POINTER
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkSubject 	  892706	       319.1 ns/op	     640 B/op	      32 allocs/op
BenchmarkSubject 	  822340	       314.1 ns/op	     640 B/op	      32 allocs/op
BenchmarkSubject 	  831675	       311.9 ns/op	     640 B/op	      32 allocs/op
BenchmarkSubject 	  800394	       318.9 ns/op	     640 B/op	      32 allocs/op
BenchmarkSubject 	  955443	       325.3 ns/op	     640 B/op	      32 allocs/op
BenchmarkSubject 	  873448	       315.2 ns/op	     640 B/op	      32 allocs/op
BenchmarkSubject 	  861885	       318.7 ns/op	     640 B/op	      32 allocs/op
BenchmarkSubject 	  909661	       317.3 ns/op	     640 B/op	      32 allocs/op
BenchmarkSubject 	  846652	       316.0 ns/op	     640 B/op	      32 allocs/op
BenchmarkSubject 	  854889	       316.9 ns/op	     640 B/op	      32 allocs/op
BenchmarkSubject 	  859291	       313.7 ns/op	     640 B/op	      32 allocs/op
BenchmarkSubject 	  838624	       314.5 ns/op	     640 B/op	      32 allocs/op
BenchmarkSubject 	  800541	       314.6 ns/op	     640 B/op	      32 allocs/op
BenchmarkSubject 	  819543	       317.1 ns/op	     640 B/op	      32 allocs/op
BenchmarkSubject 	  825980	       324.9 ns/op	     640 B/op	      32 allocs/op
BenchmarkSubject 	  855474	       318.9 ns/op	     640 B/op	      32 allocs/op
BenchmarkSubject 	  911096	       327.1 ns/op	     640 B/op	      32 allocs/op
BenchmarkSubject 	  905232	       317.1 ns/op	     640 B/op	      32 allocs/op
BenchmarkSubject 	  824781	       317.4 ns/op	     640 B/op	      32 allocs/op
BenchmarkSubject 	  813715	       313.0 ns/op	     640 B/op	      32 allocs/op
PASS
ok  	escapebench.local/matrix/M-b44a93baae51/subjects/Size0008Plain_RETURNED_ALLOCATING_R16_POINTER	6.001s
