goos: linux
goarch: amd64
pkg: escapebench.local/matrix/M-b44a93baae51/subjects/Size0008Plain_RETURNED_ALLOCATING_R16_VALUE
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkSubject 	 1772025	       168.3 ns/op	     384 B/op	      16 allocs/op
BenchmarkSubject 	 1773436	       170.9 ns/op	     384 B/op	      16 allocs/op
BenchmarkSubject 	 1752884	       174.3 ns/op	     384 B/op	      16 allocs/op
BenchmarkSubject 	 1666806	       178.0 ns/op	     384 B/op	      16 allocs/op
BenchmarkSubject 	 1761375	       172.2 ns/op	     384 B/op	      16 allocs/op
BenchmarkSubject 	 1765224	       166.1 ns/op	     384 B/op	      16 allocs/op
BenchmarkSubject 	 1770877	       173.7 ns/op	     384 B/op	      16 allocs/op
BenchmarkSubject 	 1798552	       168.4 ns/op	     384 B/op	      16 allocs/op
BenchmarkSubject 	 1752722	       171.3 ns/op	     384 B/op	      16 allocs/op
BenchmarkSubject 	 1629366	       171.1 ns/op	     384 B/op	      16 allocs/op
BenchmarkSubject 	 1767738	       173.5 ns/op	     384 B/op	      16 allocs/op
BenchmarkSubject 	 1773589	       169.1 ns/op	     384 B/op	      16 allocs/op
BenchmarkSubject 	 1710685	       170.6 ns/op	     384 B/op	      16 allocs/op
BenchmarkSubject 	 1764097	       172.1 ns/op	     384 B/op	      16 allocs/op
BenchmarkSubject 	 1737724	       172.5 ns/op	     384 B/op	      16 allocs/op
BenchmarkSubject 	 1772907	       176.6 ns/op	     384 B/op	      16 allocs/op
BenchmarkSubject 	 1767856	       171.7 ns/op	     384 B/op	      16 allocs/op
BenchmarkSubject 	 1735447	       170.3 ns/op	     384 B/op	      16 allocs/op
BenchmarkSubject 	 1775744	       174.4 ns/op	     384 B/op	      16 allocs/op
BenchmarkSubject 	 1763745	       170.1 ns/op	     384 B/op	      16 allocs/op
PASS
ok  	escapebench.local/matrix/M-b44a93baae51/subjects/Size0008Plain_RETURNED_ALLOCATING_R16_VALUE	9.515s
