goos: linux
goarch: amd64
pkg: escapebench.local/matrix/M-b44a93baae51/subjects/Size0008Plain_RETURNED_ALLOCATING_R4_VALUE
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkSubject 	 6831340	        44.36 ns/op	      96 B/op	       4 allocs/op
BenchmarkSubject 	 6892640	        43.68 ns/op	      96 B/op	       4 allocs/op
BenchmarkSubject 	 6540082	        43.88 ns/op	      96 B/op	       4 allocs/op
BenchmarkSubject 	 6975207	        45.58 ns/op	      96 B/op	       4 allocs/op
BenchmarkSubject 	 6751393	        47.75 ns/op	      96 B/op	       4 allocs/op
BenchmarkSubject 	 6727926	        49.33 ns/op	      96 B/op	       4 allocs/op
BenchmarkSubject 	 6569283	        47.02 ns/op	      96 B/op	       4 allocs/op
BenchmarkSubject 	 6902697	        44.71 ns/op	      96 B/op	       4 allocs/op
BenchmarkSubject 	 7111315	        43.79 ns/op	      96 B/op	       4 allocs/op
BenchmarkSubject 	 6788572	        44.55 ns/op	      96 B/op	       4 allocs/op
BenchmarkSubject 	 7040800	        44.15 ns/op	      96 B/op	       4 allocs/op
BenchmarkSubject 	 6592682	        44.41 ns/op	      96 B/op	       4 allocs/op
BenchmarkSubject 	 6744582	        44.60 ns/op	      96 B/op	       4 allocs/op
BenchmarkSubject 	 7054268	        43.94 ns/op	      96 B/op	       4 allocs/op
BenchmarkSubject 	 6624196	        46.47 ns/op	      96 B/op	       4 allocs/op
BenchmarkSubject 	 6998176	        43.57 ns/op	      96 B/op	       4 allocs/op
BenchmarkSubject 	 6937540	        44.88 ns/op	      96 B/op	       4 allocs/op
BenchmarkSubject 	 6551948	        45.58 ns/op	      96 B/op	       4 allocs/op
BenchmarkSubject 	 6863824	        44.86 ns/op	      96 B/op	       4 allocs/op
BenchmarkSubject 	 6753874	        44.33 ns/op	      96 B/op	       4 allocs/op
PASS
ok  	escapebench.local/matrix/M-b44a93baae51/subjects/Size0008Plain_RETURNED_ALLOCATING_R4_VALUE	7.057s
