goos: linux
goarch: amd64
pkg: escapebench.local/matrix/M-b44a93baae51/subjects/Size0008Plain_STORED_IN_STRUCT_VALUE
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkSubject 	1000000000	         0.2061 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	1000000000	         0.2064 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	1000000000	         0.2085 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	1000000000	         0.2067 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	1000000000	         0.2148 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	1000000000	         0.2073 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	1000000000	         0.2048 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	1000000000	         0.2058 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	1000000000	         0.2072 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	1000000000	         0.2101 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	1000000000	         0.2062 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	1000000000	         0.2076 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	1000000000	         0.2062 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	1000000000	         0.2064 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	1000000000	         0.2059 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	1000000000	         0.2063 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	1000000000	         0.2064 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	1000000000	         0.2059 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	1000000000	         0.2049 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	1000000000	         0.2048 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	escapebench.local/matrix/M-b44a93baae51/subjects/Size0008Plain_STORED_IN_STRUCT_VALUE	4.576s
