goos: linux
goarch: amd64
pkg: escapebench.local/matrix/M-b44a93baae51/subjects/Size0008Ptr_CAPTURED_BY_CLOSURE_POINTER
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkSubject 	12406994	        23.93 ns/op	      32 B/op	       2 allocs/op
BenchmarkSubject 	12220920	        24.07 ns/op	      32 B/op	       2 allocs/op
BenchmarkSubject 	13139214	        24.08 ns/op	      32 B/op	       2 allocs/op
BenchmarkSubject 	12148086	        24.41 ns/op	      32 B/op	       2 allocs/op
BenchmarkSubject 	12636957	        23.97 ns/op	      32 B/op	       2 allocs/op
BenchmarkSubject 	12061744	        24.28 ns/op	      32 B/op	       2 allocs/op
BenchmarkSubject 	12719215	        23.83 ns/op	      32 B/op	       2 allocs/op
BenchmarkSubject 	12356551	        23.82 ns/op	      32 B/op	       2 allocs/op
BenchmarkSubject 	12650448	        23.63 ns/op	      32 B/op	       2 allocs/op
BenchmarkSubject 	12155634	        23.80 ns/op	      32 B/op	       2 allocs/op
BenchmarkSubject 	12173983	        23.45 ns/op	      32 B/op	       2 allocs/op
BenchmarkSubject 	12460804	        23.70 ns/op	      32 B/op	       2 allocs/op
BenchmarkSubject 	12947508	        23.40 ns/op	      32 B/op	       2 allocs/op
BenchmarkSubject 	12750832	        23.75 ns/op	      32 B/op	       2 allocs/op
BenchmarkSubject 	12740565	        23.68 ns/op	      32 B/op	       2 allocs/op
BenchmarkSubject 	12878185	        24.58 ns/op	      32 B/op	       2 allocs/op
BenchmarkSubject 	11758628	        23.83 ns/op	      32 B/op	       2 allocs/op
BenchmarkSubject 	12746440	        23.96 ns/op	      32 B/op	       2 allocs/op
BenchmarkSubject 	12655339	        23.90 ns/op	      32 B/op	       2 allocs/op
BenchmarkSubject 	11844566	        23.92 ns/op	      32 B/op	       2 allocs/op
PASS
ok  	escapebench.local/matrix/M-b44a93baae51/subjects/Size0008Ptr_CAPTURED_BY_CLOSURE_POINTER	6.474s
