goos: linux
goarch: amd64
pkg: escapebench.local/matrix/M-b44a93baae51/subjects/Size0008Ptr_RETURNED_ALLOCATING_R16_POINTER
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkSubject 	  847755	       328.3 ns/op	     640 B/op	      32 allocs/op
BenchmarkSubject 	  921229	       316.6 ns/op	     640 B/op	      32 allocs/op
BenchmarkSubject 	  908082	       331.8 ns/op	     640 B/op	      32 allocs/op
BenchmarkSubject 	  825092	       316.6 ns/op	     640 B/op	      32 allocs/op
BenchmarkSubject 	  848688	       324.0 ns/op	     640 B/op	      32 allocs/op
BenchmarkSubject 	  829188	       325.2 ns/op	     640 B/op	      32 allocs/op
BenchmarkSubject 	  873118	       332.7 ns/op	     640 B/op	      32 allocs/op
BenchmarkSubject 	  852643	       321.4 ns/op	     640 B/op	      32 allocs/op
BenchmarkSubject 	  780291	       335.0 ns/op	     640 B/op	      32 allocs/op
BenchmarkSubject 	  842326	       345.8 ns/op	     640 B/op	      32 allocs/op
BenchmarkSubject 	  858397	       330.0 ns/op	     640 B/op	      32 allocs/op
BenchmarkSubject 	  781219	       340.0 ns/op	     640 B/op	      32 allocs/op
BenchmarkSubject 	  800384	       348.0 ns/op	     640 B/op	      32 allocs/op
BenchmarkSubject 	  742932	       341.7 ns/op	     640 B/op	      32 allocs/op
BenchmarkSubject 	  785733	       324.3 ns/op	     640 B/op	      32 allocs/op
BenchmarkSubject 	  770091	       334.3 ns/op	     640 B/op	      32 allocs/op
BenchmarkSubject 	  872326	       344.0 ns/op	     640 B/op	      32 allocs/op
BenchmarkSubject 	  820292	       334.7 ns/op	     640 B/op	      32 allocs/op
BenchmarkSubject 	  754336	       340.1 ns/op	     640 B/op	      32 allocs/op
BenchmarkSubject 	  795444	       329.4 ns/op	     640 B/op	      32 allocs/op
PASS
ok  	escapebench.local/matrix/M-b44a93baae51/subjects/Size0008Ptr_RETURNED_ALLOCATING_R16_POINTER	6.315s
