goos: linux
goarch: amd64
pkg: escapebench.local/matrix/M-b44a93baae51/subjects/Size0008Ptr_RETURNED_ALLOCATING_R4_K2_VALUE
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkSubject 	 3521992	        87.84 ns/op	     192 B/op	       8 allocs/op
BenchmarkSubject 	 3199462	        87.37 ns/op	     192 B/op	       8 allocs/op
BenchmarkSubject 	 3487867	        86.37 ns/op	     192 B/op	       8 allocs/op
BenchmarkSubject 	 3363019	        88.81 ns/op	     192 B/op	       8 allocs/op
BenchmarkSubject 	 3445083	        86.47 ns/op	     192 B/op	       8 allocs/op
BenchmarkSubject 	 3443595	        85.78 ns/op	     192 B/op	       8 allocs/op
BenchmarkSubject 	 3454726	        85.57 ns/op	     192 B/op	       8 allocs/op
BenchmarkSubject 	 3572431	        84.38 ns/op	     192 B/op	       8 allocs/op
BenchmarkSubject 	 3617164	        85.52 ns/op	     192 B/op	       8 allocs/op
BenchmarkSubject 	 3370358	        88.63 ns/op	     192 B/op	       8 allocs/op
BenchmarkSubject 	 3400012	        87.11 ns/op	     192 B/op	       8 allocs/op
BenchmarkSubject 	 3622843	        85.76 ns/op	     192 B/op	       8 allocs/op
BenchmarkSubject 	 3428266	        85.24 ns/op	     192 B/op	       8 allocs/op
BenchmarkSubject 	 3431050	        86.24 ns/op	     192 B/op	       8 allocs/op
BenchmarkSubject 	 3520178	        85.10 ns/op	     192 B/op	       8 allocs/op
BenchmarkSubject 	 3432804	        85.69 ns/op	     192 B/op	       8 allocs/op
BenchmarkSubject 	 3479866	        84.91 ns/op	     192 B/op	       8 allocs/op
BenchmarkSubject 	 3475588	        86.12 ns/op	     192 B/op	       8 allocs/op
BenchmarkSubject 	 3384986	        86.10 ns/op	     192 B/op	       8 allocs/op
BenchmarkSubject 	 3408801	        84.28 ns/op	     192 B/op	       8 allocs/op
PASS
ok  	escapebench.local/matrix/M-b44a93baae51/subjects/Size0008Ptr_RETURNED_ALLOCATING_R4_K2_VALUE	7.735s
