goos: linux
goarch: amd64
pkg: escapebench.local/matrix/M-b44a93baae51/subjects/Size0016FieldsPlain_CAPTURED_BY_CLOSURE_VALUE
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkSubject 	21758556	        12.72 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	24349065	        12.67 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	22912652	        12.77 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	24287121	        12.55 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	22467495	        12.90 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	24245205	        12.59 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	23622738	        12.54 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	24431150	        12.43 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	22830396	        12.49 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	24597038	        12.38 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	22417628	        13.03 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	22316262	        12.53 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	21920532	        12.59 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	24260031	        12.25 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	24827276	        12.63 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	24416078	        12.60 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	24004863	        12.57 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	24150514	        12.53 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	24120104	        12.38 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	24325424	        12.63 ns/op	      24 B/op	       1 allocs/op
PASS
ok  	escapebench.local/matrix/M-b44a93baae51/subjects/Size0016FieldsPlain_CAPTURED_BY_CLOSURE_VALUE	6.224s
