goos: linux
goarch: amd64
pkg: escapebench.local/matrix/M-b44a93baae51/subjects/Size0016FieldsPlain_LOCAL_POINTER
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkSubject 	340619695	         0.7395 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	396189062	         0.7880 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	393754713	         0.7190 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	379206571	         0.7738 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	391058437	         0.8009 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	423777619	         0.7628 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	411843266	         0.7434 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	356833219	         0.7775 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	393816110	         0.7409 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	384660615	         0.7283 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	422508926	         0.7316 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	413241576	         0.7379 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	447156618	         0.7654 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	372291708	         0.7401 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	410033799	         0.7317 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	436225490	         0.7482 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	361768868	         0.7827 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	361987354	         0.8332 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	354880820	         0.8238 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	415026102	         0.7583 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	escapebench.local/matrix/M-b44a93baae51/subjects/Size0016FieldsPlain_LOCAL_POINTER	7.559s
