goos: linux
goarch: amd64
pkg: escapebench.local/matrix/M-b44a93baae51/subjects/Size0016FieldsPlain_RETURNED_ALLOCATING_R16_POINTER
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkSubject 	  896187	       320.2 ns/op	     640 B/op	      32 allocs/op
BenchmarkSubject 	  877940	       317.0 ns/op	     640 B/op	      32 allocs/op
BenchmarkSubject 	  857816	       323.6 ns/op	     640 B/op	      32 allocs/op
BenchmarkSubject 	  894344	       324.7 ns/op	     640 B/op	      32 allocs/op
BenchmarkSubject 	  956772	       321.1 ns/op	     640 B/op	      32 allocs/op
BenchmarkSubject 	  831814	       318.6 ns/op	     640 B/op	      32 allocs/op
BenchmarkSubject 	  769150	       330.4 ns/op	     640 B/op	      32 allocs/op
BenchmarkSubject 	  732988	       346.5 ns/op	     640 B/op	      32 allocs/op
BenchmarkSubject 	  816708	       325.5 ns/op	     640 B/op	      32 allocs/op
BenchmarkSubject 	  808430	       325.7 ns/op	     640 B/op	      32 allocs/op
BenchmarkSubject 	  863425	       326.3 ns/op	     640 B/op	      32 allocs/op
BenchmarkSubject 	  929222	       321.5 ns/op	     640 B/op	      32 allocs/op
BenchmarkSubject 	  865609	       323.8 ns/op	     640 B/op	      32 allocs/op
BenchmarkSubject 	  822520	       329.0 ns/op	     640 B/op	      32 allocs/op
BenchmarkSubject 	  866252	       331.9 ns/op	     640 B/op	      32 allocs/op
BenchmarkSubject 	  846892	       333.1 ns/op	     640 B/op	      32 allocs/op
BenchmarkSubject 	  838497	       328.7 ns/op	     640 B/op	      32 allocs/op
BenchmarkSubject 	  923036	       327.1 ns/op	     640 B/op	      32 allocs/op
BenchmarkSubject 	  936020	       322.2 ns/op	     640 B/op	      32 allocs/op
BenchmarkSubject 	  808520	       331.7 ns/op	     640 B/op	      32 allocs/op
PASS
ok  	escapebench.local/matrix/M-b44a93baae51/subjects/Size0016FieldsPlain_RETURNED_ALLOCATING_R16_POINTER	6.870s
