goos: linux
goarch: amd64
pkg: escapebench.local/matrix/M-b44a93baae51/subjects/Size0016FieldsPlain_SENT_ON_CHANNEL_POINTER
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkSubject 	 7607551	        40.32 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	 7597606	        40.52 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	 7419139	        40.49 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	 6996216	        40.06 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	 7662528	        41.84 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	 7046678	        42.91 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	 6817832	        41.05 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	 7429543	        41.36 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	 7532310	        41.43 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	 7621718	        42.65 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	 7344466	        40.19 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	 7117687	        41.29 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	 7491716	        40.73 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	 6963622	        41.47 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	 7029568	        41.71 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	 6975682	        41.24 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	 7322929	        43.45 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	 7048158	        44.16 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	 6877368	        44.81 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	 6315027	        44.83 ns/op	      16 B/op	       1 allocs/op
PASS
ok  	escapebench.local/matrix/M-b44a93baae51/subjects/Size0016FieldsPlain_SENT_ON_CHANNEL_POINTER	6.898s
