goos: linux
goarch: amd64
pkg: escapebench.local/matrix/M-b44a93baae51/subjects/Size0016FieldsPlain_STORED_IN_SLICE_POINTER
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkSubject 	28621117	        10.23 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	28526234	        10.02 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	26015007	        10.14 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	30578203	        10.03 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	27832008	        10.61 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	29228497	        10.86 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	30006093	        11.23 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	29412430	        10.54 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	28584319	        10.39 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	28991778	        10.50 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	32490384	        10.14 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	29785851	         9.980 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	28520224	        10.72 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	27191704	        10.53 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	28731850	        10.42 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	25385054	        10.51 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	29499847	        10.72 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	28923618	        11.11 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	28249076	        10.60 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	30378109	        10.42 ns/op	      16 B/op	       1 allocs/op
PASS
ok  	escapebench.local/matrix/M-b44a93baae51/subjects/Size0016FieldsPlain_STORED_IN_SLICE_POINTER	6.783s
