goos: linux
goarch: amd64
pkg: escapebench.local/matrix/M-b44a93baae51/subjects/Size0016FieldsPtr_RETURNED_POINTER
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkSubject 	27829491	        11.05 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	28352227	        10.92 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	25091875	        11.11 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	26426628	        10.97 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	27302772	        10.79 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	26928504	        10.95 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	27553615	        11.17 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	27629325	        10.83 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	27383395	        10.73 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	28434876	        10.68 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	26555662	        10.79 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	26355463	        10.71 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	26533972	        10.71 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	26295728	        10.82 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	25208788	        10.77 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	28201020	        10.68 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	28038428	        10.76 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	27506310	        10.73 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	28323979	        10.91 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	27096106	        11.18 ns/op	      16 B/op	       1 allocs/op
PASS
ok  	escapebench.local/matrix/M-b44a93baae51/subjects/Size0016FieldsPtr_RETURNED_POINTER	6.375s
