goos: linux
goarch: amd64
pkg: escapebench.local/matrix/M-b44a93baae51/subjects/Size0016FieldsPtr_RETURNED_VALUE
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkSubject 	426583742	         0.6502 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	444069301	         0.6372 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	469350063	         0.6531 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	406105789	         0.6530 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	474404035	         0.6876 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	412640941	         0.6989 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	443200632	         0.6580 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	435148876	         0.6796 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	468793948	         0.6927 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	434089700	         0.6760 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	443358045	         0.6595 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	467465200	         0.7109 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	403987986	         0.7128 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	424054268	         0.6774 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	489159762	         0.7054 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	416087870	         0.6723 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	468814834	         0.6659 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	466195575	         0.7046 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	445165810	         0.6964 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	414225382	         0.7244 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	escapebench.local/matrix/M-b44a93baae51/subjects/Size0016FieldsPtr_RETURNED_VALUE	7.422s
