goos: linux
goarch: amd64
pkg: escapebench.local/matrix/M-b44a93baae51/subjects/Size0016FieldsPtr_SENT_ON_CHANNEL_POINTER
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkSubject 	 7627306	        40.35 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	 7318612	        40.87 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	 7500045	        40.41 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	 7526992	        40.49 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	 7613421	        40.27 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	 7326512	        42.30 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	 7225798	        40.52 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	 7388932	        40.75 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	 7554436	        40.59 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	 7251486	        40.61 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	 7323898	        40.94 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	 6703749	        41.22 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	 7378525	        41.13 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	 7343634	        40.91 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	 7215688	        42.73 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	 6539605	        43.09 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	 7042443	        42.04 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	 7329579	        42.61 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	 6552787	        42.83 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	 7060863	        41.32 ns/op	      16 B/op	       1 allocs/op
PASS
ok  	escapebench.local/matrix/M-b44a93baae51/subjects/Size0016FieldsPtr_SENT_ON_CHANNEL_POINTER	6.842s
