goos: linux
goarch: amd64
pkg: escapebench.local/matrix/M-b44a93baae51/subjects/Size0016FieldsPtr_STORED_IN_STRUCT_VALUE
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkSubject 	1000000000	         0.2063 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	1000000000	         0.2050 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	1000000000	         0.2052 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	1000000000	         0.2058 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	1000000000	         0.2041 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	1000000000	         0.2080 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	1000000000	         0.2056 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	1000000000	         0.2050 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	1000000000	         0.2056 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	1000000000	         0.2081 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	1000000000	         0.2059 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	1000000000	         0.2065 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	1000000000	         0.2048 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	1000000000	         0.2050 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	1000000000	         0.2085 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	1000000000	         0.2084 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	1000000000	         0.2045 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	1000000000	         0.2058 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	1000000000	         0.2082 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	1000000000	         0.2052 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	escapebench.local/matrix/M-b44a93baae51/subjects/Size0016FieldsPtr_STORED_IN_STRUCT_VALUE	4.560s
