goos: linux
goarch: amd64
pkg: escapebench.local/matrix/M-b44a93baae51/subjects/Size0016Plain_RETURNED_ALLOCATING_K2_POINTER
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkSubject 	10064246	        30.19 ns/op	      64 B/op	       3 allocs/op
BenchmarkSubject 	 9999686	        30.88 ns/op	      64 B/op	       3 allocs/op
BenchmarkSubject 	 9830434	        30.31 ns/op	      64 B/op	       3 allocs/op
BenchmarkSubject 	 9882568	        30.82 ns/op	      64 B/op	       3 allocs/op
BenchmarkSubject 	 9831512	        30.88 ns/op	      64 B/op	       3 allocs/op
BenchmarkSubject 	 9391696	        31.38 ns/op	      64 B/op	       3 allocs/op
BenchmarkSubject 	 9434432	        29.44 ns/op	      64 B/op	       3 allocs/op
BenchmarkSubject 	 9459870	        30.35 ns/op	      64 B/op	       3 allocs/op
BenchmarkSubject 	 9807470	        30.68 ns/op	      64 B/op	       3 allocs/op
BenchmarkSubject 	 9632085	        30.38 ns/op	      64 B/op	       3 allocs/op
BenchmarkSubject 	 9651466	        30.95 ns/op	      64 B/op	       3 allocs/op
BenchmarkSubject 	 9651153	        31.08 ns/op	      64 B/op	       3 allocs/op
BenchmarkSubject 	 9850732	        30.13 ns/op	      64 B/op	       3 allocs/op
BenchmarkSubject 	 9809047	        30.28 ns/op	      64 B/op	       3 allocs/op
BenchmarkSubject 	 9895818	        30.40 ns/op	      64 B/op	       3 allocs/op
BenchmarkSubject 	 9979315	        31.15 ns/op	      64 B/op	       3 allocs/op
BenchmarkSubject 	 9402171	        30.83 ns/op	      64 B/op	       3 allocs/op
BenchmarkSubject 	 9900432	        30.33 ns/op	      64 B/op	       3 allocs/op
BenchmarkSubject 	 9310334	        30.82 ns/op	      64 B/op	       3 allocs/op
BenchmarkSubject 	 9436293	        30.60 ns/op	      64 B/op	       3 allocs/op
PASS
ok  	escapebench.local/matrix/M-b44a93baae51/subjects/Size0016Plain_RETURNED_ALLOCATING_K2_POINTER	6.592s
