goos: linux
goarch: amd64
pkg: escapebench.local/matrix/M-b44a93baae51/subjects/Size0016Plain_RETURNED_POINTER
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkSubject 	30512223	         9.792 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	29855079	        10.04 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	28513182	         9.887 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	29325607	        10.02 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	29352702	        10.25 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	28667269	        10.27 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	27606496	        10.68 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	27842142	        10.32 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	29473314	        10.40 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	28455159	        10.47 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	29610055	         9.947 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	27677936	        10.05 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	30277771	        10.09 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	29200981	        10.27 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	30118026	        10.00 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	26591517	        10.11 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	31342858	        10.52 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	25172852	         9.956 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	30636622	         9.891 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	29938783	        10.25 ns/op	      16 B/op	       1 allocs/op
PASS
ok  	escapebench.local/matrix/M-b44a93baae51/subjects/Size0016Plain_RETURNED_POINTER	6.130s
