goos: linux
goarch: amd64
pkg: escapebench.local/matrix/M-b44a93baae51/subjects/Size0016Plain_STORED_IN_SLICE_POINTER
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkSubject 	31824004	         9.245 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	32288481	         9.274 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	31804743	         9.132 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	30705030	         9.328 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	30176052	         9.272 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	30103126	         9.556 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	31248186	         9.186 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	31876302	         9.066 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	32488488	         9.110 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	30890259	         9.087 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	31282076	         9.100 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	32150818	         9.069 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	31543621	         9.083 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	33046081	         9.154 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	30993726	         9.179 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	30317042	         9.200 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	32496729	         9.253 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	31039377	         9.118 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	32637242	         9.159 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	32674424	         9.100 ns/op	      16 B/op	       1 allocs/op
PASS
ok  	escapebench.local/matrix/M-b44a93baae51/subjects/Size0016Plain_STORED_IN_SLICE_POINTER	6.015s
