goos: linux
goarch: amd64
pkg: escapebench.local/matrix/M-b44a93baae51/subjects/Size0016Plain_STORED_IN_STRUCT_POINTER
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkSubject 	31098066	         9.210 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	30676261	         9.127 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	28806242	         9.109 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	32798190	         9.626 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	31892870	         9.203 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	30736183	         9.375 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	33363913	         9.270 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	33748298	         9.167 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	30043041	         9.144 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	32274631	         9.178 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	31130487	         9.071 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	30143733	         9.149 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	31146796	         9.006 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	33204385	         9.220 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	30244609	         9.121 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	33675997	         9.095 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	30973074	         9.245 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	31326600	         9.262 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	31349193	         9.128 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	30836241	         9.201 ns/op	      16 B/op	       1 allocs/op
PASS
ok  	escapebench.local/matrix/M-b44a93baae51/subjects/Size0016Plain_STORED_IN_STRUCT_POINTER	6.006s
