goos: linux
goarch: amd64
pkg: escapebench.local/matrix/M-b44a93baae51/subjects/Size0016Ptr_RETURNED_POINTER
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkSubject 	26870367	        10.57 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	26387908	        10.72 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	28476385	        10.73 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	27344262	        10.76 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	28418760	        11.02 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	28172449	        10.91 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	28566212	        10.59 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	27773716	        10.77 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	27249211	        10.58 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	25917859	        11.15 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	28146076	        10.87 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	28117298	        10.74 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	26221054	        10.94 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	26398420	        10.57 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	28648569	        10.81 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	28025512	        10.59 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	28167201	        10.60 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	28156482	        10.65 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	25802733	        11.77 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	23972325	        11.14 ns/op	      16 B/op	       1 allocs/op
PASS
ok  	escapebench.local/matrix/M-b44a93baae51/subjects/Size0016Ptr_RETURNED_POINTER	6.164s
