goos: linux
goarch: amd64
pkg: escapebench.local/matrix/M-b44a93baae51/subjects/Size0016Ptr_SENT_ON_CHANNEL_POINTER
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkSubject 	 7532330	        40.75 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	 7475037	        39.94 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	 7346208	        40.03 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	 7837852	        39.70 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	 7515103	        40.18 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	 7331431	        41.21 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	 7463467	        40.90 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	 7524454	        40.24 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	 7171652	        40.66 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	 7209141	        40.43 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	 7352160	        40.91 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	 7311015	        40.94 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	 7136808	        41.70 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	 6758490	        41.02 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	 7348148	        40.85 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	 7076558	        41.12 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	 7005906	        41.86 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	 7308602	        41.19 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	 7195465	        42.58 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	 7004709	        42.14 ns/op	      16 B/op	       1 allocs/op
PASS
ok  	escapebench.local/matrix/M-b44a93baae51/subjects/Size0016Ptr_SENT_ON_CHANNEL_POINTER	6.827s
