goos: linux
goarch: amd64
pkg: escapebench.local/matrix/M-b44a93baae51/subjects/Size0016Ptr_SENT_ON_CHANNEL_VALUE
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkSubject 	10051994	        27.67 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	10744558	        27.47 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	10924762	        27.52 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	10828448	        27.57 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	10805988	        28.34 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	10624849	        27.75 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	11073474	        27.46 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	10840490	        28.20 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	10745852	        27.75 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	10779007	        27.85 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	10593466	        27.91 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	10801654	        27.73 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	10998856	        27.71 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	10491958	        27.94 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	10679185	        27.49 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	10809691	        28.38 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	10637218	        28.35 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	10868346	        27.73 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	11246103	        27.48 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	10955980	        27.86 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	escapebench.local/matrix/M-b44a93baae51/subjects/Size0016Ptr_SENT_ON_CHANNEL_VALUE	6.575s
