goos: linux
goarch: amd64
pkg: escapebench.local/matrix/M-b44a93baae51/subjects/Size0016Ptr_STORED_IN_MAP_VALUE
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkSubject 	52685428	         5.290 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	54708396	         5.222 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	55096519	         5.227 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	57007233	         5.329 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	56263695	         5.379 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	59837397	         5.111 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	63196197	         5.187 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	62400990	         5.084 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	56457218	         5.390 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	54717285	         5.059 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	55805761	         5.157 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	54498535	         5.166 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	52733251	         5.381 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	57946726	         5.256 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	62678973	         5.246 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	52232822	         5.390 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	64717183	         5.437 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	63832272	         5.195 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	53729902	         5.130 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	52087989	         5.052 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	escapebench.local/matrix/M-b44a93baae51/subjects/Size0016Ptr_STORED_IN_MAP_VALUE	6.109s
