goos: linux
goarch: amd64
pkg: escapebench.local/matrix/M-b44a93baae51/subjects/Size0016Ptr_STORED_IN_STRUCT_POINTER
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkSubject 	29699420	        10.42 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	29911336	        10.26 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	28575741	        10.02 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	28774018	        10.51 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	30152746	        10.32 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	28156334	        10.36 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	28167728	        10.35 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	27226069	        10.27 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	26582235	        10.61 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	26556784	        10.58 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	26714155	        10.34 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	28908272	        10.43 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	29183014	        10.38 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	26778519	        10.66 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	28560778	        10.47 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	28941412	        10.40 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	25949437	        10.41 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	28362868	        10.30 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	28753930	        10.20 ns/op	      16 B/op	       1 allocs/op
BenchmarkSubject 	25543888	        10.59 ns/op	      16 B/op	       1 allocs/op
PASS
ok  	escapebench.local/matrix/M-b44a93baae51/subjects/Size0016Ptr_STORED_IN_STRUCT_POINTER	6.271s
