goos: linux
goarch: amd64
pkg: escapebench.local/matrix/M-b44a93baae51/subjects/Size0024FieldsPlain_RETURNED_ALLOCATING_POINTER
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkSubject 	13984945	        20.81 ns/op	      48 B/op	       2 allocs/op
BenchmarkSubject 	14218988	        20.98 ns/op	      48 B/op	       2 allocs/op
BenchmarkSubject 	14511175	        20.33 ns/op	      48 B/op	       2 allocs/op
BenchmarkSubject 	14157862	        20.46 ns/op	      48 B/op	       2 allocs/op
BenchmarkSubject 	14425246	        20.60 ns/op	      48 B/op	       2 allocs/op
BenchmarkSubject 	13929700	        20.73 ns/op	      48 B/op	       2 allocs/op
BenchmarkSubject 	14361272	        20.37 ns/op	      48 B/op	       2 allocs/op
BenchmarkSubject 	14287898	        20.50 ns/op	      48 B/op	       2 allocs/op
BenchmarkSubject 	14525750	        20.45 ns/op	      48 B/op	       2 allocs/op
BenchmarkSubject 	13719418	        20.34 ns/op	      48 B/op	       2 allocs/op
BenchmarkSubject 	14230113	        20.10 ns/op	      48 B/op	       2 allocs/op
BenchmarkSubject 	15210607	        20.67 ns/op	      48 B/op	       2 allocs/op
BenchmarkSubject 	13952162	        20.59 ns/op	      48 B/op	       2 allocs/op
BenchmarkSubject 	14277369	        20.54 ns/op	      48 B/op	       2 allocs/op
BenchmarkSubject 	14144144	        20.56 ns/op	      48 B/op	       2 allocs/op
BenchmarkSubject 	14282503	        20.28 ns/op	      48 B/op	       2 allocs/op
BenchmarkSubject 	14515567	        20.37 ns/op	      48 B/op	       2 allocs/op
BenchmarkSubject 	14823426	        20.60 ns/op	      48 B/op	       2 allocs/op
BenchmarkSubject 	13940211	        21.07 ns/op	      48 B/op	       2 allocs/op
BenchmarkSubject 	15019118	        20.49 ns/op	      48 B/op	       2 allocs/op
PASS
ok  	escapebench.local/matrix/M-b44a93baae51/subjects/Size0024FieldsPlain_RETURNED_ALLOCATING_POINTER	6.337s
