goos: linux
goarch: amd64
pkg: escapebench.local/matrix/M-b44a93baae51/subjects/Size0024FieldsPlain_RETURNED_POINTER
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkSubject 	25830666	        10.53 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	27715760	        10.49 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	26983575	        10.51 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	28117320	        10.44 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	28086747	        10.55 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	28902961	        10.61 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	27323702	        10.42 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	28291682	        10.54 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	26709175	        10.55 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	27843472	        10.59 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	27263932	        10.69 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	26255659	        10.55 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	27143641	        10.67 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	28386152	        10.61 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	27566500	        10.80 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	26804728	        10.55 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	28020512	        10.74 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	26825106	        10.47 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	27800215	        10.44 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	27026418	        10.51 ns/op	      24 B/op	       1 allocs/op
PASS
ok  	escapebench.local/matrix/M-b44a93baae51/subjects/Size0024FieldsPlain_RETURNED_POINTER	6.045s
