goos: linux
goarch: amd64
pkg: escapebench.local/matrix/M-b44a93baae51/subjects/Size0024FieldsPlain_STORED_IN_STRUCT_POINTER
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkSubject 	29082595	        10.04 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	29333397	        10.12 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	27691040	        10.06 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	28402352	        10.19 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	28566096	        10.14 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	29213114	        10.16 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	28379353	        10.35 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	26444905	         9.945 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	29699706	        10.17 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	27459391	        10.30 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	29804120	        10.08 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	28818658	        10.10 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	29325630	        10.03 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	29744317	        10.10 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	29321428	        10.24 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	29203258	        10.57 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	26587777	        10.71 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	27293167	        11.19 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	27704662	        10.45 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	24912498	        10.54 ns/op	      24 B/op	       1 allocs/op
PASS
ok  	escapebench.local/matrix/M-b44a93baae51/subjects/Size0024FieldsPlain_STORED_IN_STRUCT_POINTER	6.308s
