goos: linux
goarch: amd64
pkg: escapebench.local/matrix/M-b44a93baae51/subjects/Size0024FieldsPtr_RETURNED_ALLOCATING_R16_K2_POINTER
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkSubject 	  561562	       578.5 ns/op	    1152 B/op	      48 allocs/op
BenchmarkSubject 	  534914	       585.9 ns/op	    1152 B/op	      48 allocs/op
BenchmarkSubject 	  535142	       611.9 ns/op	    1152 B/op	      48 allocs/op
BenchmarkSubject 	  431984	       607.8 ns/op	    1152 B/op	      48 allocs/op
BenchmarkSubject 	  551809	       584.0 ns/op	    1152 B/op	      48 allocs/op
BenchmarkSubject 	  425253	       589.6 ns/op	    1152 B/op	      48 allocs/op
BenchmarkSubject 	  554562	       584.6 ns/op	    1152 B/op	      48 allocs/op
BenchmarkSubject 	  440875	       593.9 ns/op	    1152 B/op	      48 allocs/op
BenchmarkSubject 	  444276	       576.9 ns/op	    1152 B/op	      48 allocs/op
BenchmarkSubject 	  465932	       619.9 ns/op	    1152 B/op	      48 allocs/op
BenchmarkSubject 	  455852	       567.6 ns/op	    1152 B/op	      48 allocs/op
BenchmarkSubject 	  513141	       584.8 ns/op	    1152 B/op	      48 allocs/op
BenchmarkSubject 	  462072	       569.0 ns/op	    1152 B/op	      48 allocs/op
BenchmarkSubject 	  495087	       604.3 ns/op	    1152 B/op	      48 allocs/op
BenchmarkSubject 	  530576	       581.7 ns/op	    1152 B/op	      48 allocs/op
BenchmarkSubject 	  557995	       558.1 ns/op	    1152 B/op	      48 allocs/op
BenchmarkSubject 	  541206	       576.1 ns/op	    1152 B/op	      48 allocs/op
BenchmarkSubject 	  475299	       578.6 ns/op	    1152 B/op	      48 allocs/op
BenchmarkSubject 	  434654	       599.0 ns/op	    1152 B/op	      48 allocs/op
BenchmarkSubject 	  497167	       610.7 ns/op	    1152 B/op	      48 allocs/op
PASS
ok  	escapebench.local/matrix/M-b44a93baae51/subjects/Size0024FieldsPtr_RETURNED_ALLOCATING_R16_K2_POINTER	6.460s
