goos: linux
goarch: amd64
pkg: escapebench.local/matrix/M-b44a93baae51/subjects/Size0024Plain_RETURNED_POINTER
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkSubject 	27593523	        10.73 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	26056347	        10.82 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	26209376	        10.82 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	27879996	        10.90 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	27570705	        10.79 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	28408552	        10.61 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	27596175	        10.84 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	25841455	        10.77 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	26607202	        10.94 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	26793141	        10.81 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	26016476	        11.03 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	25644819	        10.77 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	26764330	        10.74 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	26421044	        10.61 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	27607090	        10.78 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	25493313	        10.66 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	28080390	        10.80 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	26601580	        10.71 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	26860849	        10.70 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	26197909	        10.72 ns/op	      24 B/op	       1 allocs/op
PASS
ok  	escapebench.local/matrix/M-b44a93baae51/subjects/Size0024Plain_RETURNED_POINTER	6.271s
