goos: linux
goarch: amd64
pkg: escapebench.local/matrix/M-b44a93baae51/subjects/Size0024Plain_SENT_ON_CHANNEL_POINTER
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkSubject 	 7626094	        41.32 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	 6943428	        43.34 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	 7056879	        41.44 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	 6928215	        43.51 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	 7177003	        41.53 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	 7148490	        41.89 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	 7309358	        41.52 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	 6902631	        42.55 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	 7202622	        41.58 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	 7208625	        41.59 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	 7304880	        41.13 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	 7314110	        41.35 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	 7248750	        42.59 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	 7107258	        41.60 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	 7080183	        41.80 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	 6924294	        49.03 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	 5704762	        48.80 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	 6975316	        45.16 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	 6284312	        45.53 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	 6361114	        48.22 ns/op	      24 B/op	       1 allocs/op
PASS
ok  	escapebench.local/matrix/M-b44a93baae51/subjects/Size0024Plain_SENT_ON_CHANNEL_POINTER	6.929s
