goos: linux
goarch: amd64
pkg: escapebench.local/matrix/M-b44a93baae51/subjects/Size0024Plain_STORED_IN_MAP_VALUE
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkSubject 	23934886	        11.55 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	27844120	        11.82 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	24584960	        11.41 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	25510394	        11.55 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	27467521	        11.92 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	23923988	        11.61 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	25710507	        11.83 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	26581258	        11.72 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	24435823	        11.52 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	28383255	        11.76 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	24333205	        11.36 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	23877051	        11.47 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	26861530	        11.31 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	27211142	        11.47 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	27954310	        11.52 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	26137123	        11.61 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	27217680	        11.36 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	26863050	        11.42 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	25435633	        11.65 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	24316716	        12.01 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	escapebench.local/matrix/M-b44a93baae51/subjects/Size0024Plain_STORED_IN_MAP_VALUE	6.269s
