goos: linux
goarch: amd64
pkg: escapebench.local/matrix/M-b44a93baae51/subjects/Size0024Plain_STORED_IN_SLICE_POINTER
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkSubject 	23906694	        11.07 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	25398664	        11.44 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	24460257	        11.30 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	24762962	        11.40 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	26269734	        10.97 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	23989626	        11.29 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	26929237	        11.29 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	22671037	        11.37 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	26510271	        11.48 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	26857146	        10.98 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	26295859	        11.10 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	27487216	        10.82 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	24612871	        11.36 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	24830594	        11.05 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	25823436	        11.37 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	26705668	        11.01 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	27200336	        10.97 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	23651187	        11.07 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	28630586	        10.74 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	27659352	        10.93 ns/op	      24 B/op	       1 allocs/op
PASS
ok  	escapebench.local/matrix/M-b44a93baae51/subjects/Size0024Plain_STORED_IN_SLICE_POINTER	5.998s
