goos: linux
goarch: amd64
pkg: escapebench.local/matrix/M-b44a93baae51/subjects/Size0024Plain_STORED_IN_STRUCT_POINTER
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkSubject 	25022630	        10.95 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	27629206	        11.23 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	30149440	        10.84 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	26182503	        10.86 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	26904482	        11.05 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	24906583	        10.61 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	25552425	        10.77 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	27297426	        10.95 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	26729191	        11.15 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	23520840	        10.79 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	26686221	        11.24 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	25654080	        12.12 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	28071417	        11.56 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	21505416	        12.03 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	25039480	        13.71 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	26460523	        12.87 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	24892401	        11.73 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	25599295	        11.63 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	23803167	        12.45 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	24566107	        12.34 ns/op	      24 B/op	       1 allocs/op
PASS
ok  	escapebench.local/matrix/M-b44a93baae51/subjects/Size0024Plain_STORED_IN_STRUCT_POINTER	6.648s
