goos: linux
goarch: amd64
pkg: escapebench.local/matrix/M-b44a93baae51/subjects/Size0024Ptr_RETURNED_ALLOCATING_R16_K2_POINTER
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkSubject 	  411069	       631.7 ns/op	    1152 B/op	      48 allocs/op
BenchmarkSubject 	  439762	       650.6 ns/op	    1152 B/op	      48 allocs/op
BenchmarkSubject 	  415230	       639.0 ns/op	    1152 B/op	      48 allocs/op
BenchmarkSubject 	  490508	       593.6 ns/op	    1152 B/op	      48 allocs/op
BenchmarkSubject 	  478360	       576.9 ns/op	    1152 B/op	      48 allocs/op
BenchmarkSubject 	  471284	       599.2 ns/op	    1152 B/op	      48 allocs/op
BenchmarkSubject 	  476898	       593.6 ns/op	    1152 B/op	      48 allocs/op
BenchmarkSubject 	  508975	       579.2 ns/op	    1152 B/op	      48 allocs/op
BenchmarkSubject 	  479808	       591.0 ns/op	    1152 B/op	      48 allocs/op
BenchmarkSubject 	  522632	       572.4 ns/op	    1152 B/op	      48 allocs/op
BenchmarkSubject 	  540775	       572.4 ns/op	    1152 B/op	      48 allocs/op
BenchmarkSubject 	  534285	       556.4 ns/op	    1152 B/op	      48 allocs/op
BenchmarkSubject 	  515586	       557.7 ns/op	    1152 B/op	      48 allocs/op
BenchmarkSubject 	  507615	       542.1 ns/op	    1152 B/op	      48 allocs/op
BenchmarkSubject 	  506403	       551.8 ns/op	    1152 B/op	      48 allocs/op
BenchmarkSubject 	  527076	       548.1 ns/op	    1152 B/op	      48 allocs/op
BenchmarkSubject 	  552334	       549.6 ns/op	    1152 B/op	      48 allocs/op
BenchmarkSubject 	  478393	       550.0 ns/op	    1152 B/op	      48 allocs/op
BenchmarkSubject 	  480338	       544.0 ns/op	    1152 B/op	      48 allocs/op
BenchmarkSubject 	  533968	       538.9 ns/op	    1152 B/op	      48 allocs/op
PASS
ok  	escapebench.local/matrix/M-b44a93baae51/subjects/Size0024Ptr_RETURNED_ALLOCATING_R16_K2_POINTER	6.072s
