goos: linux
goarch: amd64
pkg: escapebench.local/matrix/M-b44a93baae51/subjects/Size0024Ptr_RETURNED_ALLOCATING_R16_K2_VALUE
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkSubject 	  503149	       537.6 ns/op	     768 B/op	      32 allocs/op
BenchmarkSubject 	  520502	       539.9 ns/op	     768 B/op	      32 allocs/op
BenchmarkSubject 	  512910	       535.7 ns/op	     768 B/op	      32 allocs/op
BenchmarkSubject 	  555855	       528.1 ns/op	     768 B/op	      32 allocs/op
BenchmarkSubject 	  534042	       535.6 ns/op	     768 B/op	      32 allocs/op
BenchmarkSubject 	  543032	       559.8 ns/op	     768 B/op	      32 allocs/op
BenchmarkSubject 	  481182	       544.0 ns/op	     768 B/op	      32 allocs/op
BenchmarkSubject 	  552735	       529.0 ns/op	     768 B/op	      32 allocs/op
BenchmarkSubject 	  560696	       541.1 ns/op	     768 B/op	      32 allocs/op
BenchmarkSubject 	  476811	       527.9 ns/op	     768 B/op	      32 allocs/op
BenchmarkSubject 	  536343	       513.7 ns/op	     768 B/op	      32 allocs/op
BenchmarkSubject 	  553677	       518.5 ns/op	     768 B/op	      32 allocs/op
BenchmarkSubject 	  518358	       523.6 ns/op	     768 B/op	      32 allocs/op
BenchmarkSubject 	  532118	       558.7 ns/op	     768 B/op	      32 allocs/op
BenchmarkSubject 	  517670	       533.8 ns/op	     768 B/op	      32 allocs/op
BenchmarkSubject 	  460144	       554.2 ns/op	     768 B/op	      32 allocs/op
BenchmarkSubject 	  504080	       550.0 ns/op	     768 B/op	      32 allocs/op
BenchmarkSubject 	  522909	       756.4 ns/op	     768 B/op	      32 allocs/op
BenchmarkSubject 	  444264	       624.9 ns/op	     768 B/op	      32 allocs/op
BenchmarkSubject 	  477259	       921.0 ns/op	     768 B/op	      32 allocs/op
PASS
ok  	escapebench.local/matrix/M-b44a93baae51/subjects/Size0024Ptr_RETURNED_ALLOCATING_R16_K2_VALUE	6.163s
