goos: linux
goarch: amd64
pkg: escapebench.local/matrix/M-b44a93baae51/subjects/Size0024Ptr_STORED_IN_MAP_POINTER
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkSubject 	15055723	        18.70 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	14579938	        17.94 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	15088189	        18.30 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	16552104	        17.98 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	15715803	        17.88 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	17174251	        17.87 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	15455832	        18.78 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	14304643	        18.98 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	14459248	        18.12 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	16892858	        17.64 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	16799598	        17.65 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	15955306	        17.58 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	16830043	        17.60 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	17002976	        17.63 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	16987893	        17.99 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	15782148	        22.37 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	14056135	        22.27 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	13947357	        21.05 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	15798042	        28.31 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	10712886	        24.69 ns/op	      24 B/op	       1 allocs/op
PASS
ok  	escapebench.local/matrix/M-b44a93baae51/subjects/Size0024Ptr_STORED_IN_MAP_POINTER	6.654s
