goos: linux
goarch: amd64
pkg: escapebench.local/matrix/M-b44a93baae51/subjects/Size0128FieldsPlain_CAPTURED_BY_CLOSURE_POINTER
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkSubject 	 8048743	        42.18 ns/op	     144 B/op	       2 allocs/op
BenchmarkSubject 	 7093215	        38.76 ns/op	     144 B/op	       2 allocs/op
BenchmarkSubject 	 7801203	        40.72 ns/op	     144 B/op	       2 allocs/op
BenchmarkSubject 	 7187085	        41.13 ns/op	     144 B/op	       2 allocs/op
BenchmarkSubject 	 7252778	        40.22 ns/op	     144 B/op	       2 allocs/op
BenchmarkSubject 	 7761372	        41.63 ns/op	     144 B/op	       2 allocs/op
BenchmarkSubject 	 7415466	        40.05 ns/op	     144 B/op	       2 allocs/op
BenchmarkSubject 	 7503468	        41.52 ns/op	     144 B/op	       2 allocs/op
BenchmarkSubject 	 8013547	        44.66 ns/op	     144 B/op	       2 allocs/op
BenchmarkSubject 	 7893457	        40.89 ns/op	     144 B/op	       2 allocs/op
BenchmarkSubject 	 7897174	        37.91 ns/op	     144 B/op	       2 allocs/op
BenchmarkSubject 	 8365068	        39.35 ns/op	     144 B/op	       2 allocs/op
BenchmarkSubject 	 8122400	        37.96 ns/op	     144 B/op	       2 allocs/op
BenchmarkSubject 	 7743385	        37.56 ns/op	     144 B/op	       2 allocs/op
BenchmarkSubject 	 7691418	        40.37 ns/op	     144 B/op	       2 allocs/op
BenchmarkSubject 	 8083370	        38.60 ns/op	     144 B/op	       2 allocs/op
BenchmarkSubject 	 7407067	        40.05 ns/op	     144 B/op	       2 allocs/op
BenchmarkSubject 	 7323452	        38.25 ns/op	     144 B/op	       2 allocs/op
BenchmarkSubject 	 6838498	        39.94 ns/op	     144 B/op	       2 allocs/op
BenchmarkSubject 	 7333174	        39.83 ns/op	     144 B/op	       2 allocs/op
PASS
ok  	escapebench.local/matrix/M-b44a93baae51/subjects/Size0128FieldsPlain_CAPTURED_BY_CLOSURE_POINTER	6.952s
