goos: linux
goarch: amd64
pkg: escapebench.local/matrix/M-b44a93baae51/subjects/Size0128FieldsPlain_RETURNED_ALLOCATING_POINTER
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkSubject 	 6585880	        38.49 ns/op	     152 B/op	       2 allocs/op
BenchmarkSubject 	 7894206	        36.77 ns/op	     152 B/op	       2 allocs/op
BenchmarkSubject 	 8408472	        35.97 ns/op	     152 B/op	       2 allocs/op
BenchmarkSubject 	 8060528	        36.34 ns/op	     152 B/op	       2 allocs/op
BenchmarkSubject 	 8405750	        34.20 ns/op	     152 B/op	       2 allocs/op
BenchmarkSubject 	 8307792	        35.44 ns/op	     152 B/op	       2 allocs/op
BenchmarkSubject 	 8647436	        34.51 ns/op	     152 B/op	       2 allocs/op
BenchmarkSubject 	 8681241	        33.97 ns/op	     152 B/op	       2 allocs/op
BenchmarkSubject 	 8365836	        35.60 ns/op	     152 B/op	       2 allocs/op
BenchmarkSubject 	 8112602	        34.38 ns/op	     152 B/op	       2 allocs/op
BenchmarkSubject 	 8750974	        33.63 ns/op	     152 B/op	       2 allocs/op
BenchmarkSubject 	 8827050	        34.08 ns/op	     152 B/op	       2 allocs/op
BenchmarkSubject 	 8296044	        35.39 ns/op	     152 B/op	       2 allocs/op
BenchmarkSubject 	 8537137	        35.07 ns/op	     152 B/op	       2 allocs/op
BenchmarkSubject 	 9000474	        33.93 ns/op	     152 B/op	       2 allocs/op
BenchmarkSubject 	 8982750	        33.54 ns/op	     152 B/op	       2 allocs/op
BenchmarkSubject 	 8755198	        34.98 ns/op	     152 B/op	       2 allocs/op
BenchmarkSubject 	 8528835	        33.87 ns/op	     152 B/op	       2 allocs/op
BenchmarkSubject 	 8605389	        35.12 ns/op	     152 B/op	       2 allocs/op
BenchmarkSubject 	 8849842	        33.72 ns/op	     152 B/op	       2 allocs/op
PASS
ok  	escapebench.local/matrix/M-b44a93baae51/subjects/Size0128FieldsPlain_RETURNED_ALLOCATING_POINTER	6.637s
