goos: linux
goarch: amd64
pkg: escapebench.local/matrix/M-b44a93baae51/subjects/Size0128FieldsPlain_RETURNED_ALLOCATING_R4_VALUE
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkSubject 	 4533433	        65.60 ns/op	      96 B/op	       4 allocs/op
BenchmarkSubject 	 4504735	        65.34 ns/op	      96 B/op	       4 allocs/op
BenchmarkSubject 	 4537135	        65.03 ns/op	      96 B/op	       4 allocs/op
BenchmarkSubject 	 4557669	        64.98 ns/op	      96 B/op	       4 allocs/op
BenchmarkSubject 	 4508134	        65.41 ns/op	      96 B/op	       4 allocs/op
BenchmarkSubject 	 4457487	        65.46 ns/op	      96 B/op	       4 allocs/op
BenchmarkSubject 	 4562991	        65.30 ns/op	      96 B/op	       4 allocs/op
BenchmarkSubject 	 4464165	        65.45 ns/op	      96 B/op	       4 allocs/op
BenchmarkSubject 	 4562245	        65.79 ns/op	      96 B/op	       4 allocs/op
BenchmarkSubject 	 4460840	        65.89 ns/op	      96 B/op	       4 allocs/op
BenchmarkSubject 	 4593144	        65.52 ns/op	      96 B/op	       4 allocs/op
BenchmarkSubject 	 4522968	        65.32 ns/op	      96 B/op	       4 allocs/op
BenchmarkSubject 	 4436384	        65.50 ns/op	      96 B/op	       4 allocs/op
BenchmarkSubject 	 4519304	        64.85 ns/op	      96 B/op	       4 allocs/op
BenchmarkSubject 	 4618038	        64.99 ns/op	      96 B/op	       4 allocs/op
BenchmarkSubject 	 4488924	        65.08 ns/op	      96 B/op	       4 allocs/op
BenchmarkSubject 	 4586583	        64.13 ns/op	      96 B/op	       4 allocs/op
BenchmarkSubject 	 4550968	        66.66 ns/op	      96 B/op	       4 allocs/op
BenchmarkSubject 	 4575877	        65.26 ns/op	      96 B/op	       4 allocs/op
BenchmarkSubject 	 4582578	        65.42 ns/op	      96 B/op	       4 allocs/op
PASS
ok  	escapebench.local/matrix/M-b44a93baae51/subjects/Size0128FieldsPlain_RETURNED_ALLOCATING_R4_VALUE	7.287s
