goos: linux
goarch: amd64
pkg: escapebench.local/matrix/M-b44a93baae51/subjects/Size0128FieldsPlain_RETURNED_ALLOCATING_VALUE
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkSubject 	18404848	        17.11 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	18528266	        16.27 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	15323954	        16.35 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	17942331	        15.83 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	19071543	        16.03 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	17270397	        16.19 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	17951239	        16.11 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	17142916	        16.05 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	19142774	        15.92 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	19151546	        16.56 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	18006284	        16.33 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	17616786	        16.05 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	17247468	        16.98 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	17231385	        16.42 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	17278052	        16.47 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	17365310	        16.14 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	19201242	        16.06 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	19313258	        16.23 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	18437536	        16.36 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	18455220	        16.23 ns/op	      24 B/op	       1 allocs/op
PASS
ok  	escapebench.local/matrix/M-b44a93baae51/subjects/Size0128FieldsPlain_RETURNED_ALLOCATING_VALUE	6.226s
