goos: linux
goarch: amd64
pkg: escapebench.local/matrix/M-b44a93baae51/subjects/Size0128FieldsPlain_STORED_IN_MAP_POINTER
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkSubject 	 9147505	        30.28 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	 9674626	        30.43 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	10582150	        29.58 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	10149439	        30.27 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	10537957	        28.93 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	10025823	        28.55 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	10729114	        28.34 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	10244443	        28.97 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	 9706636	        29.30 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	 9606804	        30.37 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	 9810147	        29.00 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	 9880956	        29.35 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	10357516	        29.06 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	 9644527	        30.64 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	 9758595	        29.58 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	 9564588	        28.25 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	10094250	        28.74 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	10643695	        29.15 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	10007407	        29.28 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	 9877702	        28.80 ns/op	     128 B/op	       1 allocs/op
PASS
ok  	escapebench.local/matrix/M-b44a93baae51/subjects/Size0128FieldsPlain_STORED_IN_MAP_POINTER	6.991s
