goos: linux
goarch: amd64
pkg: escapebench.local/matrix/M-b44a93baae51/subjects/Size0128FieldsPlain_STORED_IN_MAP_VALUE
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkSubject 	27756451	        10.64 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	31120179	        10.58 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	28836213	        10.55 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	27663230	        10.60 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	26017423	        10.50 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	30845658	        10.78 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	31085701	        10.39 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	29554754	        10.58 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	30605155	        10.69 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	26996121	        10.50 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	23282980	        11.13 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	29931931	        10.49 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	30609867	        10.82 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	26798493	        10.80 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	27410767	        10.89 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	30204489	        11.04 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	30946520	        11.41 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	30162012	        11.28 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	29321038	        11.12 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	23544202	        10.72 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	escapebench.local/matrix/M-b44a93baae51/subjects/Size0128FieldsPlain_STORED_IN_MAP_VALUE	6.406s
