goos: linux
goarch: amd64
pkg: escapebench.local/matrix/M-b44a93baae51/subjects/Size0128FieldsPlain_STORED_IN_SLICE_POINTER
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkSubject 	10883424	        25.80 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	11833591	        24.61 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	12539598	        25.25 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	11815424	        24.16 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	12397736	        24.51 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	11265015	        23.52 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	11420288	        25.24 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	12453444	        24.84 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	11747413	        24.28 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	12196568	        24.36 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	12725700	        24.09 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	12286766	        24.10 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	11625814	        24.07 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	12256884	        24.07 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	12219260	        25.60 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	11525998	        24.51 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	11954994	        25.02 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	12173916	        25.01 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	11833262	        24.03 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	11518780	        23.94 ns/op	     128 B/op	       1 allocs/op
PASS
ok  	escapebench.local/matrix/M-b44a93baae51/subjects/Size0128FieldsPlain_STORED_IN_SLICE_POINTER	6.397s
