goos: linux
goarch: amd64
pkg: escapebench.local/matrix/M-b44a93baae51/subjects/Size0128FieldsPtr_RETURNED_ALLOCATING_K2_POINTER
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkSubject 	 6368450	        46.56 ns/op	     176 B/op	       3 allocs/op
BenchmarkSubject 	 6445110	        47.31 ns/op	     176 B/op	       3 allocs/op
BenchmarkSubject 	 6174144	        48.34 ns/op	     176 B/op	       3 allocs/op
BenchmarkSubject 	 5969491	        48.47 ns/op	     176 B/op	       3 allocs/op
BenchmarkSubject 	 5796483	        48.01 ns/op	     176 B/op	       3 allocs/op
BenchmarkSubject 	 6359374	        48.59 ns/op	     176 B/op	       3 allocs/op
BenchmarkSubject 	 6355966	        47.75 ns/op	     176 B/op	       3 allocs/op
BenchmarkSubject 	 6387883	        46.56 ns/op	     176 B/op	       3 allocs/op
BenchmarkSubject 	 6456408	        47.00 ns/op	     176 B/op	       3 allocs/op
BenchmarkSubject 	 6253252	        48.12 ns/op	     176 B/op	       3 allocs/op
BenchmarkSubject 	 6013642	        46.63 ns/op	     176 B/op	       3 allocs/op
BenchmarkSubject 	 6579804	        47.12 ns/op	     176 B/op	       3 allocs/op
BenchmarkSubject 	 5973982	        47.26 ns/op	     176 B/op	       3 allocs/op
BenchmarkSubject 	 6432384	        46.36 ns/op	     176 B/op	       3 allocs/op
BenchmarkSubject 	 6325512	        47.36 ns/op	     176 B/op	       3 allocs/op
BenchmarkSubject 	 6426590	        48.25 ns/op	     176 B/op	       3 allocs/op
BenchmarkSubject 	 6428080	        47.54 ns/op	     176 B/op	       3 allocs/op
BenchmarkSubject 	 6244467	        49.31 ns/op	     176 B/op	       3 allocs/op
BenchmarkSubject 	 6359425	        47.36 ns/op	     176 B/op	       3 allocs/op
BenchmarkSubject 	 6178416	        46.87 ns/op	     176 B/op	       3 allocs/op
PASS
ok  	escapebench.local/matrix/M-b44a93baae51/subjects/Size0128FieldsPtr_RETURNED_ALLOCATING_K2_POINTER	6.967s
