goos: linux
goarch: amd64
pkg: escapebench.local/matrix/M-b44a93baae51/subjects/Size0128FieldsPtr_RETURNED_ALLOCATING_POINTER
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkSubject 	 6692617	        42.61 ns/op	     152 B/op	       2 allocs/op
BenchmarkSubject 	 7200548	        41.63 ns/op	     152 B/op	       2 allocs/op
BenchmarkSubject 	 7274139	        38.87 ns/op	     152 B/op	       2 allocs/op
BenchmarkSubject 	 7717401	        36.54 ns/op	     152 B/op	       2 allocs/op
BenchmarkSubject 	 8448201	        36.51 ns/op	     152 B/op	       2 allocs/op
BenchmarkSubject 	 8215045	        36.78 ns/op	     152 B/op	       2 allocs/op
BenchmarkSubject 	 8263256	        36.74 ns/op	     152 B/op	       2 allocs/op
BenchmarkSubject 	 7726231	        38.39 ns/op	     152 B/op	       2 allocs/op
BenchmarkSubject 	 7182694	        38.43 ns/op	     152 B/op	       2 allocs/op
BenchmarkSubject 	 8052738	        37.35 ns/op	     152 B/op	       2 allocs/op
BenchmarkSubject 	 8147805	        37.21 ns/op	     152 B/op	       2 allocs/op
BenchmarkSubject 	 8297474	        36.96 ns/op	     152 B/op	       2 allocs/op
BenchmarkSubject 	 8372090	        35.97 ns/op	     152 B/op	       2 allocs/op
BenchmarkSubject 	 7603266	        38.96 ns/op	     152 B/op	       2 allocs/op
BenchmarkSubject 	 8400565	        36.60 ns/op	     152 B/op	       2 allocs/op
BenchmarkSubject 	 8371015	        36.39 ns/op	     152 B/op	       2 allocs/op
BenchmarkSubject 	 8266564	        35.94 ns/op	     152 B/op	       2 allocs/op
BenchmarkSubject 	 8180680	        36.41 ns/op	     152 B/op	       2 allocs/op
BenchmarkSubject 	 8074394	        37.44 ns/op	     152 B/op	       2 allocs/op
BenchmarkSubject 	 8299551	        38.02 ns/op	     152 B/op	       2 allocs/op
PASS
ok  	escapebench.local/matrix/M-b44a93baae51/subjects/Size0128FieldsPtr_RETURNED_ALLOCATING_POINTER	6.992s
