goos: linux
goarch: amd64
pkg: escapebench.local/matrix/M-b44a93baae51/subjects/Size0128FieldsPtr_RETURNED_ALLOCATING_R16_POINTER
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkSubject 	  434568	       609.5 ns/op	    2432 B/op	      32 allocs/op
BenchmarkSubject 	  474498	       591.2 ns/op	    2432 B/op	      32 allocs/op
BenchmarkSubject 	  506007	       581.1 ns/op	    2432 B/op	      32 allocs/op
BenchmarkSubject 	  484755	       593.6 ns/op	    2432 B/op	      32 allocs/op
BenchmarkSubject 	  484434	       600.1 ns/op	    2432 B/op	      32 allocs/op
BenchmarkSubject 	  498420	       589.1 ns/op	    2432 B/op	      32 allocs/op
BenchmarkSubject 	  444687	       582.7 ns/op	    2432 B/op	      32 allocs/op
BenchmarkSubject 	  475153	       594.2 ns/op	    2432 B/op	      32 allocs/op
BenchmarkSubject 	  468816	       589.5 ns/op	    2432 B/op	      32 allocs/op
BenchmarkSubject 	  513446	       611.9 ns/op	    2432 B/op	      32 allocs/op
BenchmarkSubject 	  462722	       591.8 ns/op	    2432 B/op	      32 allocs/op
BenchmarkSubject 	  447243	       592.9 ns/op	    2432 B/op	      32 allocs/op
BenchmarkSubject 	  498924	       583.8 ns/op	    2432 B/op	      32 allocs/op
BenchmarkSubject 	  498127	       584.0 ns/op	    2432 B/op	      32 allocs/op
BenchmarkSubject 	  503595	       579.3 ns/op	    2432 B/op	      32 allocs/op
BenchmarkSubject 	  477019	       576.6 ns/op	    2432 B/op	      32 allocs/op
BenchmarkSubject 	  423260	       615.1 ns/op	    2432 B/op	      32 allocs/op
BenchmarkSubject 	  497984	       588.1 ns/op	    2432 B/op	      32 allocs/op
BenchmarkSubject 	  505240	       597.8 ns/op	    2432 B/op	      32 allocs/op
BenchmarkSubject 	  483806	       597.7 ns/op	    2432 B/op	      32 allocs/op
PASS
ok  	escapebench.local/matrix/M-b44a93baae51/subjects/Size0128FieldsPtr_RETURNED_ALLOCATING_R16_POINTER	6.562s
