goos: linux
goarch: amd64
pkg: escapebench.local/matrix/M-b44a93baae51/subjects/Size0128FieldsPtr_RETURNED_ALLOCATING_R4_K2_VALUE
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkSubject 	 2768582	       105.4 ns/op	     192 B/op	       8 allocs/op
BenchmarkSubject 	 2752899	       108.1 ns/op	     192 B/op	       8 allocs/op
BenchmarkSubject 	 2800351	       103.6 ns/op	     192 B/op	       8 allocs/op
BenchmarkSubject 	 2898493	       104.4 ns/op	     192 B/op	       8 allocs/op
BenchmarkSubject 	 2867842	       105.1 ns/op	     192 B/op	       8 allocs/op
BenchmarkSubject 	 2919674	       102.5 ns/op	     192 B/op	       8 allocs/op
BenchmarkSubject 	 2879119	       103.8 ns/op	     192 B/op	       8 allocs/op
BenchmarkSubject 	 2909977	       104.9 ns/op	     192 B/op	       8 allocs/op
BenchmarkSubject 	 2780412	       105.3 ns/op	     192 B/op	       8 allocs/op
BenchmarkSubject 	 2904650	       104.4 ns/op	     192 B/op	       8 allocs/op
BenchmarkSubject 	 2891142	       103.9 ns/op	     192 B/op	       8 allocs/op
BenchmarkSubject 	 2914851	       104.0 ns/op	     192 B/op	       8 allocs/op
BenchmarkSubject 	 2939548	       105.9 ns/op	     192 B/op	       8 allocs/op
BenchmarkSubject 	 2853975	       106.4 ns/op	     192 B/op	       8 allocs/op
BenchmarkSubject 	 2885907	       103.2 ns/op	     192 B/op	       8 allocs/op
BenchmarkSubject 	 2908064	       103.0 ns/op	     192 B/op	       8 allocs/op
BenchmarkSubject 	 2923456	       102.9 ns/op	     192 B/op	       8 allocs/op
BenchmarkSubject 	 2893255	       102.6 ns/op	     192 B/op	       8 allocs/op
BenchmarkSubject 	 2890675	       103.5 ns/op	     192 B/op	       8 allocs/op
BenchmarkSubject 	 2922373	       102.1 ns/op	     192 B/op	       8 allocs/op
PASS
ok  	escapebench.local/matrix/M-b44a93baae51/subjects/Size0128FieldsPtr_RETURNED_ALLOCATING_R4_K2_VALUE	8.133s
