goos: linux
goarch: amd64
pkg: escapebench.local/matrix/M-b44a93baae51/subjects/Size0128FieldsPtr_RETURNED_ALLOCATING_R4_POINTER
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkSubject 	 1920919	       156.9 ns/op	     608 B/op	       8 allocs/op
BenchmarkSubject 	 1988497	       151.3 ns/op	     608 B/op	       8 allocs/op
BenchmarkSubject 	 1983439	       164.5 ns/op	     608 B/op	       8 allocs/op
BenchmarkSubject 	 2066691	       147.9 ns/op	     608 B/op	       8 allocs/op
BenchmarkSubject 	 2119299	       144.2 ns/op	     608 B/op	       8 allocs/op
BenchmarkSubject 	 2039878	       144.7 ns/op	     608 B/op	       8 allocs/op
BenchmarkSubject 	 2086514	       146.6 ns/op	     608 B/op	       8 allocs/op
BenchmarkSubject 	 2067031	       143.9 ns/op	     608 B/op	       8 allocs/op
BenchmarkSubject 	 2049363	       149.7 ns/op	     608 B/op	       8 allocs/op
BenchmarkSubject 	 1972777	       149.3 ns/op	     608 B/op	       8 allocs/op
BenchmarkSubject 	 1950476	       153.1 ns/op	     608 B/op	       8 allocs/op
BenchmarkSubject 	 2017648	       153.5 ns/op	     608 B/op	       8 allocs/op
BenchmarkSubject 	 1937208	       148.7 ns/op	     608 B/op	       8 allocs/op
BenchmarkSubject 	 2052669	       147.8 ns/op	     608 B/op	       8 allocs/op
BenchmarkSubject 	 2064639	       148.1 ns/op	     608 B/op	       8 allocs/op
BenchmarkSubject 	 2054601	       148.9 ns/op	     608 B/op	       8 allocs/op
BenchmarkSubject 	 1970666	       149.7 ns/op	     608 B/op	       8 allocs/op
BenchmarkSubject 	 2035354	       149.5 ns/op	     608 B/op	       8 allocs/op
BenchmarkSubject 	 2070321	       154.3 ns/op	     608 B/op	       8 allocs/op
BenchmarkSubject 	 2055577	       147.4 ns/op	     608 B/op	       8 allocs/op
PASS
ok  	escapebench.local/matrix/M-b44a93baae51/subjects/Size0128FieldsPtr_RETURNED_ALLOCATING_R4_POINTER	9.112s
