goos: linux
goarch: amd64
pkg: escapebench.local/matrix/M-b44a93baae51/subjects/Size0128FieldsPtr_RETURNED_ALLOCATING_VALUE
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkSubject 	16982625	        17.30 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	17537670	        16.94 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	17516623	        17.03 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	17052352	        16.95 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	16627323	        17.52 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	16898108	        17.20 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	17656669	        17.30 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	17169672	        17.06 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	16596075	        17.10 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	17509974	        17.01 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	17378386	        17.20 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	16791992	        17.36 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	16515574	        17.16 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	17484790	        16.99 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	17394420	        17.21 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	17129550	        17.12 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	17485210	        17.23 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	16935998	        17.13 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	16670451	        17.36 ns/op	      24 B/op	       1 allocs/op
BenchmarkSubject 	14504287	        19.10 ns/op	      24 B/op	       1 allocs/op
PASS
ok  	escapebench.local/matrix/M-b44a93baae51/subjects/Size0128FieldsPtr_RETURNED_ALLOCATING_VALUE	6.245s
