goos: linux
goarch: amd64
pkg: escapebench.local/matrix/M-b44a93baae51/subjects/Size0128FieldsPtr_SENT_ON_CHANNEL_POINTER
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkSubject 	 5185951	        55.67 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	 5229463	        58.13 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	 5397805	        56.35 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	 5268850	        55.54 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	 5486575	        56.56 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	 5146804	        56.55 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	 5313072	        55.39 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	 5512742	        55.28 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	 5474050	        54.81 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	 5487814	        55.12 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	 5438924	        54.72 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	 5548454	        54.90 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	 5487968	        54.12 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	 5376535	        54.51 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	 5517093	        53.92 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	 5475148	        55.94 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	 5586674	        54.40 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	 5506275	        55.70 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	 5461774	        54.94 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	 4880655	        55.22 ns/op	     128 B/op	       1 allocs/op
PASS
ok  	escapebench.local/matrix/M-b44a93baae51/subjects/Size0128FieldsPtr_SENT_ON_CHANNEL_POINTER	7.127s
