goos: linux
goarch: amd64
pkg: escapebench.local/matrix/M-b44a93baae51/subjects/Size0128FieldsPtr_STORED_IN_MAP_VALUE
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkSubject 	29933568	        10.01 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	29616074	        10.06 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	29872654	         9.965 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	30536352	        10.01 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	27622754	        10.03 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	28614040	        10.08 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	30379737	        10.04 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	30520719	        10.02 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	30393898	        10.10 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	30095229	        10.04 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	25909538	         9.948 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	26972760	        10.05 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	29758946	        10.03 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	29832949	         9.995 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	30053355	        10.18 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	26743716	        10.08 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	30280536	         9.976 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	30535789	        10.02 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	30191538	        10.09 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubject 	30313664	        10.03 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	escapebench.local/matrix/M-b44a93baae51/subjects/Size0128FieldsPtr_STORED_IN_MAP_VALUE	6.130s
