goos: linux
goarch: amd64
pkg: escapebench.local/matrix/M-b44a93baae51/subjects/Size0128Plain_RETURNED_POINTER
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkSubject 	11936760	        23.67 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	12845589	        23.74 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	12611432	        23.77 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	12833407	        23.60 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	12249908	        23.71 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	12200990	        23.72 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	12493584	        23.86 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	12600855	        24.20 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	11817697	        23.29 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	12795655	        23.65 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	12555794	        23.94 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	12382945	        23.40 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	12633666	        23.48 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	12048681	        23.77 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	12125908	        23.79 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	12697330	        23.36 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	12467956	        23.44 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	13055395	        23.55 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	12858504	        23.61 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	12766317	        23.36 ns/op	     128 B/op	       1 allocs/op
PASS
ok  	escapebench.local/matrix/M-b44a93baae51/subjects/Size0128Plain_RETURNED_POINTER	6.425s
