goos: linux
goarch: amd64
pkg: escapebench.local/matrix/M-b44a93baae51/subjects/Size0128Plain_STORED_IN_MAP_POINTER
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkSubject 	10148421	        27.76 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	10918708	        27.04 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	10835685	        27.60 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	10570564	        27.66 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	10911760	        27.74 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	10541653	        28.07 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	 9554420	        28.44 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	10652040	        28.48 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	10437885	        28.19 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	10586373	        27.46 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	10923223	        27.59 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	10550289	        27.63 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	10832145	        27.66 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	10955692	        27.51 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	11028360	        27.45 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	10620640	        27.63 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	10830543	        27.96 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	10601691	        28.96 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	10491322	        28.50 ns/op	     128 B/op	       1 allocs/op
BenchmarkSubject 	10169950	        27.79 ns/op	     128 B/op	       1 allocs/op
PASS
ok  	escapebench.local/matrix/M-b44a93baae51/subjects/Size0128Plain_STORED_IN_MAP_POINTER	6.509s
