goos: linux
goarch: amd64
pkg: escapebench.local/matrix/M-b44a93baae51/subjects/Size0128Ptr_CAPTURED_BY_CLOSURE_POINTER
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkSubject 	 7722096	        40.10 ns/op	     144 B/op	       2 allocs/op
BenchmarkSubject 	 7362387	        44.33 ns/op	     144 B/op	       2 allocs/op
BenchmarkSubject 	 7719166	        41.04 ns/op	     144 B/op	       2 allocs/op
BenchmarkSubject 	 7074627	        41.91 ns/op	     144 B/op	       2 allocs/op
BenchmarkSubject 	 7414024	        40.01 ns/op	     144 B/op	       2 allocs/op
BenchmarkSubject 	 7590922	        39.19 ns/op	     144 B/op	       2 allocs/op
BenchmarkSubject 	 7571120	        39.66 ns/op	     144 B/op	       2 allocs/op
BenchmarkSubject 	 7682034	        39.86 ns/op	     144 B/op	       2 allocs/op
BenchmarkSubject 	 7486364	        40.08 ns/op	     144 B/op	       2 allocs/op
BenchmarkSubject 	 8016021	        38.92 ns/op	     144 B/op	       2 allocs/op
BenchmarkSubject 	 7798868	        38.96 ns/op	     144 B/op	       2 allocs/op
BenchmarkSubject 	 8020629	        39.42 ns/op	     144 B/op	       2 allocs/op
BenchmarkSubject 	 7716969	        39.60 ns/op	     144 B/op	       2 allocs/op
BenchmarkSubject 	 7317876	        40.61 ns/op	     144 B/op	       2 allocs/op
BenchmarkSubject 	 7472007	        39.88 ns/op	     144 B/op	       2 allocs/op
BenchmarkSubject 	 7008723	        39.60 ns/op	     144 B/op	       2 allocs/op
BenchmarkSubject 	 7578639	        38.69 ns/op	     144 B/op	       2 allocs/op
BenchmarkSubject 	 7942207	        38.58 ns/op	     144 B/op	       2 allocs/op
BenchmarkSubject 	 7874437	        39.16 ns/op	     144 B/op	       2 allocs/op
BenchmarkSubject 	 7920963	        38.58 ns/op	     144 B/op	       2 allocs/op
PASS
ok  	escapebench.local/matrix/M-b44a93baae51/subjects/Size0128Ptr_CAPTURED_BY_CLOSURE_POINTER	6.901s
