goos: linux
goarch: amd64
pkg: escapebench.local/matrix/M-b44a93baae51/subjects/Size0128Ptr_CAPTURED_BY_CLOSURE_VALUE
cpu: Intel(R) Core(TM) Ultra 9 275HX
BenchmarkSubject 	 7320274	        38.94 ns/op	     144 B/op	       1 allocs/op
BenchmarkSubject 	 7744641	        38.41 ns/op	     144 B/op	       1 allocs/op
BenchmarkSubject 	 7829230	        38.78 ns/op	     144 B/op	       1 allocs/op
BenchmarkSubject 	 7683018	        38.67 ns/op	     144 B/op	       1 allocs/op
BenchmarkSubject 	 7831928	        38.50 ns/op	     144 B/op	       1 allocs/op
BenchmarkSubject 	 7776350	        39.71 ns/op	     144 B/op	       1 allocs/op
BenchmarkSubject 	 7194937	        39.51 ns/op	     144 B/op	       1 allocs/op
BenchmarkSubject 	 7714150	        39.32 ns/op	     144 B/op	       1 allocs/op
BenchmarkSubject 	 7269438	        39.15 ns/op	     144 B/op	       1 allocs/op
BenchmarkSubject 	 7616923	        39.86 ns/op	     144 B/op	       1 allocs/op
BenchmarkSubject 	 7766900	        39.22 ns/op	     144 B/op	       1 allocs/op
BenchmarkSubject 	 7574750	        39.49 ns/op	     144 B/op	       1 allocs/op
BenchmarkSubject 	 7230476	        40.59 ns/op	     144 B/op	       1 allocs/op
BenchmarkSubject 	 7610802	        39.71 ns/op	     144 B/op	       1 allocs/op
BenchmarkSubject 	 7670450	        39.67 ns/op	     144 B/op	       1 allocs/op
BenchmarkSubject 	 7448226	        40.21 ns/op	     144 B/op	       1 allocs/op
BenchmarkSubject 	 7829865	        38.92 ns/op	     144 B/op	       1 allocs/op
BenchmarkSubject 	 7606191	        38.96 ns/op	     144 B/op	       1 allocs/op
BenchmarkSubject 	 8089273	        38.58 ns/op	     144 B/op	       1 allocs/op
BenchmarkSubject 	 7722189	        38.81 ns/op	     144 B/op	       1 allocs/op
PASS
ok  	escapebench.local/matrix/M-b44a93baae51/subjects/Size0128Ptr_CAPTURED_BY_CLOSURE_VALUE	6.808s
